NID,LID,px,py,pz,eta,phi
0.0000000000,2.0000000000,-1.0191300000,0.8310700000,0.9956390000,0.6988356681,2.4574896743
0.0000000000,2.0000000000,-0.5323990000,-1.2039300000,1.3091800000,0.8774926360,-1.9871595661
0.0000000000,3.0000000000,2.2603900000,0.7455920000,7.8462500000,1.9082557198,0.3186132262
0.0000000000,3.0000000000,-0.4201690000,1.0243500000,2.4785100000,1.5455143394,1.9600485779
0.0000000000,3.0000000000,0.3836880000,-1.1463400000,-4.6854800000,-2.0641884221,-1.2478099999
0.0000000000,3.0000000000,8.9434200000,4.1823400000,18.7225000000,1.3962866608,0.4374297165
0.0000000000,3.0000000000,1.1392800000,0.0773555000,3.6922200000,1.8897763961,0.0677945303
0.0000000000,3.0000000000,0.4734570000,-1.1383500000,-3.5180000000,-1.7710629983,-1.1766457317
0.0000000000,3.0000000000,-0.6669060000,1.3059200000,-2.1053600000,-1.1586042177,2.0429506415
0.0000000000,3.0000000000,0.1354650000,1.3749700000,3.1020600000,1.5482158764,1.4725911056
0.0000000000,3.0000000000,-0.4810350000,-1.3446500000,4.9728600000,1.9608033638,-1.9143496998
0.0000000000,3.0000000000,0.6468480000,-1.4490500000,-8.4130500000,-2.3699453793,-1.1509447508
0.0000000000,3.0000000000,-0.4313720000,0.9235040000,1.5759800000,1.2200998366,2.0077821839
0.0000000000,3.0000000000,0.5394730000,1.1131600000,0.3939720000,0.3133386636,1.1195184992
0.0000000000,3.0000000000,-1.4763600000,-0.0466353000,7.7291400000,2.3570744748,-3.1100151262
0.0000000000,3.0000000000,2.5052700000,-0.4815610000,1.3884600000,0.5204381457,-0.1899029520
0.0000000000,3.0000000000,0.9330220000,0.3964670000,-1.6159000000,-1.2457787092,0.4018095047
1.0000000000,0.0000000000,1.1646900000,-0.3398790000,-0.7748690000,-0.6016937737,-0.2839347541
1.0000000000,0.0000000000,0.3039590000,-1.0047700000,0.3531330000,0.3303585584,-1.2770328780
1.0000000000,0.0000000000,0.5076880000,-1.3149100000,0.9976150000,0.6590214486,-1.2023290111
1.0000000000,0.0000000000,1.2945000000,-0.6342830000,1.0309100000,0.6650285584,-0.4556019486
1.0000000000,0.0000000000,1.4277300000,-0.6151610000,1.0680500000,0.6419987091,-0.4068290971
1.0000000000,0.0000000000,2.0815600000,-0.9753620000,1.7931100000,0.7170054085,-0.4381911149
1.0000000000,0.0000000000,6.7910000000,-1.9829500000,5.4352200000,0.7077022275,-0.2840982966
1.0000000000,0.0000000000,0.9753220000,-0.3508630000,0.7327330000,0.6583277674,-0.3453259941
1.0000000000,0.0000000000,7.1216200000,-2.6921400000,5.4439900000,0.6649492744,-0.3614188062
1.0000000000,0.0000000000,3.6207300000,-1.2705600000,2.7775200000,0.6720898242,-0.3374876492
1.0000000000,0.0000000000,5.5134000000,-1.8077800000,4.8678600000,0.7628076199,-0.3168421516
1.0000000000,0.0000000000,10.9774000000,-3.9145300000,8.6388000000,0.6861268398,-0.3425415336
1.0000000000,0.0000000000,6.4281900000,-2.6045800000,5.7759100000,0.7580505769,-0.3849647012
1.0000000000,0.0000000000,30.2443000000,-11.4073000000,26.6537000000,0.7517456095,-0.3606734381
1.0000000000,0.0000000000,14.6898000000,-5.7193200000,12.4087000000,0.7226095227,-0.3712826810
1.0000000000,0.0000000000,28.5164000000,-10.6142000000,23.7976000000,0.7186316265,-0.3563258134
1.0000000000,0.0000000000,0.6250990000,-0.8590430000,0.2928080000,0.2722336594,-0.9417408756
1.0000000000,0.0000000000,2.9878500000,-2.1194300000,-0.1831960000,-0.0499886388,-0.6169732959
1.0000000000,0.0000000000,2.1937500000,-1.4224600000,-0.1641290000,-0.0627338074,-0.5752600476
1.0000000000,0.0000000000,7.0285800000,-4.7300800000,0.0582462000,0.0068750966,-0.5923592982
1.0000000000,0.0000000000,4.4719800000,-2.6564100000,0.7174220000,0.1374935968,-0.5360049612
1.0000000000,0.0000000000,5.8693500000,-3.0550900000,0.7825810000,0.1179967333,-0.4799252991
1.0000000000,0.0000000000,2.9570400000,-1.6921700000,0.2295960000,0.0673389492,-0.5197661092
1.0000000000,0.0000000000,4.2032700000,-2.2646600000,0.5225480000,0.1092275220,-0.4941923082
1.0000000000,0.0000000000,6.5505600000,-3.5360900000,0.7586100000,0.1017327657,-0.4949899546
1.0000000000,0.0000000000,18.6157000000,-10.3495000000,1.7850000000,0.0837081248,-0.5074040375
1.0000000000,0.0000000000,12.5193000000,-7.0299300000,1.2197200000,0.0848485768,-0.5116503249
1.0000000000,0.0000000000,15.6510000000,-8.6471600000,1.7384100000,0.0970690174,-0.5047597136
1.0000000000,0.0000000000,11.0709000000,-6.2139400000,1.4079500000,0.1106746798,-0.5114666933
1.0000000000,0.0000000000,13.2502000000,-7.4677900000,1.5946500000,0.1046529798,-0.5132233745
1.0000000000,0.0000000000,39.8084000000,-22.9912000000,4.5693100000,0.0992332247,-0.5237458968
1.0000000000,0.0000000000,3.0994600000,-1.8211900000,0.3663170000,0.1017232436,-0.5312393186
1.0000000000,1.0000000000,-2.6493600000,-0.3520130000,0.4348250000,0.1619854182,-3.0094991572
1.0000000000,1.0000000000,-0.9765200000,-0.5896990000,3.0293800000,1.7035106873,-2.5983265190
1.0000000000,1.0000000000,1.0042700000,0.6417140000,-0.0294056000,-0.0246710438,0.5685931744
1.0000000000,1.0000000000,1.0250100000,-0.5954690000,-1.2497300000,-0.9192170878,-0.5262866631
1.0000000000,1.0000000000,0.7986890000,1.1472700000,-3.5424300000,-1.6598227496,0.9626489567
1.0000000000,1.0000000000,0.0872947000,1.2650800000,-1.5203200000,-1.0152732946,1.5019022296
1.0000000000,1.0000000000,0.5405840000,1.3304100000,-3.5965500000,-1.6488954988,1.1848459568
1.0000000000,1.0000000000,1.3769800000,0.1048460000,1.1101400000,0.7357003497,0.0759953546
1.0000000000,1.0000000000,-0.0327566000,-1.2137900000,-5.2200500000,-2.1648027215,-1.5977768187
1.0000000000,1.0000000000,-1.1773600000,-0.7101730000,-0.5257640000,-0.3736302267,-2.5988301050
1.0000000000,1.0000000000,0.9798690000,-0.4156200000,-1.9736100000,-1.3764883399,-0.4011578766
1.0000000000,1.0000000000,1.3970200000,-0.1867530000,-0.3692470000,-0.2590721798,-0.1328916826
1.0000000000,1.0000000000,-1.5671400000,0.0409476000,0.1186190000,0.0755935465,3.1154697257
1.0000000000,2.0000000000,1.3039500000,-2.8869400000,-6.4399600000,-1.4582832658,-1.1465528240
1.0000000000,2.0000000000,0.5256050000,-1.8000600000,-4.6986500000,-1.6493249428,-1.2867014540
1.0000000000,2.0000000000,2.7347900000,0.8327430000,-2.1631500000,-0.6984769554,0.2955799189
