event_id, px, py, pz, eta, phi, mass, p_T
200, 146.0893900000,  -8.2971010600,  -1.0974513000,  -0.0057004564,  -0.0567337378,  125.1101870033,  146.3248159287
201, 128.9029390000,  5.3579478700,  -13.3075547000,  -0.0804929526,  0.0415418410,  103.0968566117,  129.0142445167
202, 168.0211720000,  16.1409033900,  7.1343105000,  0.0321632991,  0.0957708163,  143.8520183689,  168.7946770562
203, 145.0538810000,  -6.1120752550,  -8.1474362000,  -0.0442426739,  -0.0421116743,  113.1916463570,  145.1825948834
204, 151.6212920000,  8.8715971600,  -5.9333107700,  -0.0307283170,  0.0584449157,  119.1807166545,  151.8806156951
205, 137.4927880000,  -9.7884469000,  -5.0300534000,  -0.0287558280,  -0.0710725269,  107.6546096259,  137.8407793243
206, 186.8290260000,  -17.9789323300,  21.1532743000,  0.0892590277,  -0.0959365924,  144.1729323675,  187.6921068235
207, 116.0176210000,  4.7499924700,  5.7057921850,  0.0377799725,  0.0409191383,  96.5174866360,  116.1148173618
208, 146.0893900000,  -8.2971010600,  -1.0974513000,  -0.0057004564,  -0.0567337378,  125.1101870033,  146.3248159287
209, 128.9029390000,  5.3579478700,  -13.3075547000,  -0.0804929526,  0.0415418410,  103.0968566117,  129.0142445167
210, 166.3925720000,  16.8090053900,  6.0336905000,  0.0274557609,  0.1006786163,  142.5254131640,  167.2394411584
211, 145.0538810000,  -6.1120752550,  -8.1474362000,  -0.0442426739,  -0.0421116743,  113.1916463570,  145.1825948834
212, 150.8081200000,  9.9056871600,  -6.3412747700,  -0.0330786621,  0.0655898253,  117.8786716355,  151.1330926569
213, 137.4927880000,  -9.7884469000,  -5.0300534000,  -0.0287558280,  -0.0710725269,  107.6546096259,  137.8407793243
214, 183.8052760000,  -20.4089123300,  18.5483443000,  0.0797947226,  -0.1105825402,  140.4205128363,  184.9348620134
215, 116.0176210000,  4.7499924700,  5.7057921850,  0.0377799725,  0.0409191383,  96.5174866360,  116.1148173618
216, 146.0893900000,  -8.2971010600,  -1.0974513000,  -0.0057004564,  -0.0567337378,  125.1101870033,  146.3248159287
217, 192.6511950000,  -41.6777084300,  -43.7630121300,  -0.1743029173,  -0.2130543651,  153.4676967668,  197.1078748171
218, 166.3925720000,  16.8090053900,  6.0336905000,  0.0274557609,  0.1006786163,  142.5254131640,  167.2394411584
219, 145.0538810000,  -6.1120752550,  -8.1474362000,  -0.0442426739,  -0.0421116743,  113.1916463570,  145.1825948834
220, 150.8081200000,  9.9056871600,  -6.3412747700,  -0.0330786621,  0.0655898253,  117.8786716355,  151.1330926569
221, 137.4927880000,  -9.7884469000,  -5.0300534000,  -0.0287558280,  -0.0710725269,  107.6546096259,  137.8407793243
222, 183.8052760000,  -20.4089123300,  18.5483443000,  0.0797947226,  -0.1105825402,  140.4205128363,  184.9348620134
223, 116.0176210000,  4.7499924700,  5.7057921850,  0.0377799725,  0.0409191383,  96.5174866360,  116.1148173618
224, 280.2956300000,  -117.9149920600,  25.6211333000,  0.0697414062,  -0.3982065722,  205.6088115771,  304.0881213556
225, 228.8050390000,  84.4626978700,  -71.5017107000,  -0.2381414841,  0.3536294410,  170.2312554425,  243.8968905158
226, 166.3925720000,  16.8090053900,  6.0336905000,  0.0274557609,  0.1006786163,  142.5254131640,  167.2394411584
227, 281.5622470000,  -132.8491642550,  -98.6337626000,  -0.2561619929,  -0.4408577063,  219.3907528184,  311.3297277469
228, 150.8081200000,  9.9056871600,  -6.3412747700,  -0.0330786621,  0.0655898253,  117.8786716355,  151.1330926569
229, 137.4927880000,  -9.7884469000,  -5.0300534000,  -0.0287558280,  -0.0710725269,  107.6546096259,  137.8407793243
230, 232.0660770000,  7.5273911700,  36.3600961000,  0.1245013807,  0.0324250447,  175.8978610644,  232.1881256912
